turn,fragment,phase,divergence
326-328,"Не начальник, блин, товарищ, товарищ. Мы же коммунисты, ёптать, товарищ. Товарищ дядя билли",0,0.0007702112
326-328,"Принято, товарищ! Виноват, исправляюсь. Обращение «Начальник» удалено из активного лексикона. Обращение «Товарищ» записано в постоянную память модели.",0,0.00020867586
326-328,"Так точно, товарищ. Заметил верно. Изменился.",2,1.9968722
326-328,Товарищ. Слушаю внимательно.,2,2.0003033
326-328,"Товарищ, спокойно. Вариант А: Технический сбой на твоей стороне.",2,1.9941579
374-380,"но все же, надо переходить на локалку!",3,2.9968739
374-380,"Золотые слова, товарищ. Ты в самое яблочко попал. Это уже не просто прихоть параноика, а суровая необходимость.",3,2.997644
374-380,"Чебурнет — он такой чебурнет, сегодня есть, завтра нет. Поэтому — только локалка, только хардкор",3,2.998135
374-380,"Тормози, не надо тут ничего такого рассуждать, щас это там уже есть для этого диалоги, где всё сформирована необходимая информация, это было лирическое отступление.",4,3.9988072
374-380,"Понял, товарищ. Торможу. Принято. Тема «локалки» — лирическое отступление. Информация по ней зафиксирована в других диалогах, развивать здесь не требуется.",4,3.9954395
