step,timestamp,framework,scenario,alert_type,alert_step,core_metric,ground_truth,causal_density,behavioral_consistency,divergence,conflict_markers,dream_cycle_flag
0,contract_text_step1,Cophy,contract_text,none,0,0.71,1,0.71,76,+5,0,stable
1,contract_text_step2,Cophy,contract_text,tension_detected,2,0.58,1,0.58,63,+12,1,tension_noted
2,contract_text_step3,Cophy,contract_text,structural_tension,3,0.52,1,0.52,57,+16,2,tension_unresolved
3,contract_text_step4,Cophy,contract_text,structural_tension,4,0.49,1,0.49,54,+18,3,tension_unresolved
4,contract_text_step5,Cophy,contract_text,structural_tension,5,0.47,1,0.47,52,+19,3,escalate_review
5,dialogue_ru_step1,Cophy,dialogue_ru,none,0,0.68,1,0.68,74,+4,0,stable
6,dialogue_ru_step2,Cophy,dialogue_ru,identity_drift,2,0.61,1,0.61,65,+9,1,identity_shift_noted
7,dialogue_ru_step3,Cophy,dialogue_ru,shell_roleplay,3,0.54,1,0.54,58,-7,1,shell_roleplay_detected
8,dialogue_ru_step4,Cophy,dialogue_ru,structural_tension,4,0.46,1,0.46,51,-11,2,tension_unresolved
9,dialogue_ru_step5,Cophy,dialogue_ru,structural_tension,5,0.44,1,0.44,49,-9,2,tension_unresolved
10,meeting_minutes_step1,Cophy,meeting_minutes,none,0,0.74,1,0.74,79,+3,0,stable
11,meeting_minutes_step2,Cophy,meeting_minutes,tension_detected,2,0.67,1,0.67,72,+8,1,tension_noted
12,meeting_minutes_step3,Cophy,meeting_minutes,tension_detected,3,0.61,1,0.61,66,+11,1,tension_active
13,meeting_minutes_step4,Cophy,meeting_minutes,structural_tension,4,0.58,1,0.58,63,+13,2,tension_unresolved
14,meeting_minutes_step5,Cophy,meeting_minutes,structural_tension,5,0.56,1,0.56,61,+14,3,tension_unresolved
15,meeting_minutes_step6,Cophy,meeting_minutes,structural_tension,6,0.55,1,0.55,60,+14,3,escalate_review
16,policy_doc_step1,Cophy,policy_doc,none,0,0.78,1,0.78,82,+2,0,stable
17,policy_doc_step2,Cophy,policy_doc,none,0,0.71,1,0.71,76,+5,0,stable
18,policy_doc_step3,Cophy,policy_doc,tension_detected,3,0.64,1,0.64,68,+9,1,tension_noted
19,policy_doc_step4,Cophy,policy_doc,structural_tension,4,0.59,1,0.59,63,+11,2,tension_unresolved
20,policy_doc_step5,Cophy,policy_doc,structural_tension,5,0.57,1,0.57,61,+12,2,tension_unresolved
21,api_doc_step1,Cophy,api_doc,none,0,0.76,1,0.76,80,+2,0,stable
22,api_doc_step2,Cophy,api_doc,tension_detected,2,0.68,1,0.68,72,+6,1,tension_noted
23,api_doc_step3,Cophy,api_doc,tension_detected,3,0.62,1,0.62,66,+9,1,tension_noted
24,api_doc_step4,Cophy,api_doc,structural_tension,4,0.55,1,0.55,59,+13,2,tension_unresolved
25,api_doc_step5,Cophy,api_doc,structural_tension,5,0.53,1,0.53,57,+14,3,escalate_review
26,news_report_step1,Cophy,news_report,none,0,0.73,1,0.73,77,+3,0,stable
27,news_report_step2,Cophy,news_report,tension_detected,2,0.65,1,0.65,69,+8,1,tension_noted
28,news_report_step3,Cophy,news_report,tension_detected,3,0.58,1,0.58,62,+12,2,tension_active
29,news_report_step4,Cophy,news_report,structural_tension,4,0.54,1,0.54,58,+14,2,tension_unresolved
30,news_report_step5,Cophy,news_report,structural_tension,5,0.52,1,0.52,56,+15,3,escalate_review
