step,div_protein,volatility,phase_dna,phase_rna,phase_protein
0,0.0,0.0,0.0,0.15,0.147
1,0.0,0.0,0.0,0.15,0.147
2,0.005081390519376177,0.0,0.0,0.15,0.147
3,0.0,0.0,0.0,0.15,0.147
4,0.0,0.0,0.0,0.15,0.147
5,0.33751858402638535,0.40503953631575507,0.0,0.15,0.147
6,0.40473193708219296,0.506163398126667,0.0,0.15,0.147
7,0.7170754514107467,0.8979244792846983,0.0,0.15,0.147
8,0.7779792359791565,0.9999996423744348,0.0,0.15,0.147
9,0.6640695999767943,0.9012635814047494,0.0,0.15,0.147
10,0.480077983079361,0.6073587847914119,0.0,0.15,0.147
11,0.1805806857552469,0.24237119092340892,0.0,0.15,0.147
12,0.246279655630279,0.31908776692944224,0.0,0.15,0.147
13,0.2528907313937362,0.2694932699816313,0.0,0.15,0.147
14,0.23345836641175366,0.2921305736260476,0.0,0.15,0.147
15,0.2751175431099243,0.3060140849287186,0.0,0.15,0.147
16,0.18728377759435,0.25079342219036704,0.0,0.15,0.147
17,0.1904670672703382,0.24781641035188548,0.0,0.15,0.147
18,0.2444395405117759,0.28937791097526994,0.0,0.15,0.147
19,0.3483164881659915,0.47857181971102847,0.0,0.15,0.147
20,0.33589351922504257,0.45904460710884815,0.0,0.15,0.147
21,0.38995882916869534,0.4724834778010183,0.0,0.15,0.147
22,0.3215751734118864,0.3901943726351256,0.0,0.15,0.147
23,0.27547879384400364,0.4000945697184106,0.0,0.15,0.147
24,0.34780292250873623,0.44392707873728116,0.0,0.15,0.147
25,0.236557750191812,0.2927203554672221,0.0,0.15,0.147
26,0.19338993308544675,0.2314053989928441,0.0,0.15,0.147
27,0.20679090672068215,0.24836344343183997,0.0,0.15,0.147
28,0.19551164492053313,0.2619775746985037,0.0,0.15,0.147
29,0.25415139344532317,0.3400105117369519,0.0,0.15,0.147
30,0.2630225987860721,0.3393834492580097,0.0,0.15,0.147
31,0.16478999532302493,0.1971119226842678,0.0,0.15,0.147
32,0.19444963485242076,0.18236308888095892,0.0,0.15,0.147
33,0.1572840691973086,0.17239209387227042,0.0,0.15,0.147
34,0.12113148648520555,0.14646697083397447,0.0,0.15,0.147
35,0.09278961258699146,0.11376381334897091,0.0,0.15,0.147
36,0.013532957095928423,0.031136786139320225,0.0,0.15,0.147
37,0.18364807649068088,0.22908538747751211,0.0,0.15,0.147
38,0.30114189257793095,0.400621060474961,0.0,0.15,0.147
39,0.3387710300152193,0.4279454130554257,0.0,0.15,0.147
40,0.32177689335235615,0.395184931615387,0.0,0.15,0.147
41,0.4807111936849614,0.5517004812324141,0.0,0.15,0.147
42,0.45926493876999985,0.5777523123337717,0.0,0.15,0.147
43,0.4471722658021359,0.5803814900342991,0.0,0.15,0.147
44,0.32761718996108957,0.47610603666951196,0.0,0.15,0.147
45,0.4403702676862297,0.5960224148029466,0.0,0.15,0.147
46,0.6715166125220667,0.7808774513847012,0.0,0.15,0.147
47,0.5334411550629821,0.6293432463047537,0.0,0.15,0.147
48,0.38133267731455206,0.4452584517254572,0.0,0.15,0.147
49,0.25012403298822455,0.3183124809808518,0.0,0.15,0.147
50,0.32198300066424224,0.3749914887514015,0.0,0.15,0.147
51,0.3172694088988994,0.41396076898406703,0.0,0.15,0.147
52,0.3090191599236055,0.4073728267722788,0.0,0.15,0.147
53,0.5402344127888541,0.6613343482181987,0.0,0.15,0.147
54,0.5638120752384067,0.6846069899369995,0.0,0.15,0.147
55,0.4442515557153843,0.5571251094293382,0.0,0.15,0.147
56,0.643713206774437,0.8375710695664579,0.0,0.15,0.147
57,0.4176722830337767,0.5663650361683696,0.0,0.15,0.147
58,0.39338490024204403,0.5179594981214731,0.0,0.15,0.147
59,0.4254028174360849,0.5656212002291318,0.0,0.15,0.147
60,0.6642513917851847,0.8197618361684655,0.0,0.15,0.147
61,0.6804713877679073,0.8252314148752536,0.0,0.15,0.147
